   Wavelength    N2 abs        N2+     N+ (from N2)  N2 ion      O2 abs        O2+     O+ (from O2)  O2 ion       N ion
     958.50      53.000       0.000       0.000       0.000      18.900      14.458       0.000      14.458       0.000
     958.80      62.000       0.000       0.000       0.000      15.620      11.715       0.000      11.715       0.000
     959.00      47.000       0.000       0.000       0.000      13.433       9.941       0.000       9.941       0.000
     959.50      21.000       0.000       0.000       0.000       7.967       5.696       0.000       5.696       0.000
     960.00       1.000       0.000       0.000       0.000       2.500       1.725       0.000       1.725       0.000
     960.50      98.000       0.000       0.000       0.000       5.947       4.167       0.000       4.167       0.000
     961.00      51.000       0.000       0.000       0.000       9.395       6.684       0.000       6.684       0.000
     961.50      30.000       0.000       0.000       0.000      12.842       9.274       0.000       9.274       0.000
     961.90      20.399       0.000       0.000       0.000      15.600      11.399       0.000      11.399       0.000
     962.00      18.000       0.000       0.000       0.000      14.611      10.708       0.000      10.708       0.000
     962.50      10.000       0.000       0.000       0.000       9.667       7.188       0.000       7.188       0.000
     962.80       5.800       0.000       0.000       0.000       6.700       5.025       0.000       5.025       0.000
     963.00       3.000       0.000       0.000       0.000       9.982       7.553       0.000       7.553       0.000
     964.00       3.000       0.000       0.000       0.000      26.389      20.847       0.000      20.847       0.000
     965.00       3.000       0.000       0.000       0.000      42.796      35.236       0.000      35.236       0.000
     965.50       1.000       0.000       0.000       0.000      51.000      42.840       0.000      42.840       0.000
     965.60       1.000       0.000       0.000       0.000      50.008      41.885       0.000      41.885       0.000
     966.00      67.000       0.000       0.000       0.000      46.041      38.111       0.000      38.111       0.000
     966.50      60.000       0.000       0.000       0.000      41.082      33.503       0.000      33.503       0.000
     967.00      31.000       0.000       0.000       0.000      36.123      29.016       0.000      29.016       0.000
     967.50      20.000       0.000       0.000       0.000      31.163      24.651       0.000      24.651       0.000
     968.00      27.000       0.000       0.000       0.000      26.204      20.407       0.000      20.407       0.000
     969.00      10.000       0.000       0.000       0.000      16.286      12.284       0.000      12.284       0.000
     969.50       3.000       0.000       0.000       0.000      11.327       8.405       0.000       8.405       0.000
     970.00       6.000       0.000       0.000       0.000       6.368       4.647       0.000       4.647       0.000
     970.40       2.000       0.000       0.000       0.000       2.400       1.728       0.000       1.728       0.000
     970.50       1.000       0.000       0.000       0.000       3.790       2.711       0.000       2.711       0.000
     971.00       1.000       0.000       0.000       0.000      10.743       7.428       0.000       7.428       0.000
     971.50       6.000       0.000       0.000       0.000      17.695      11.814       0.000      11.814       0.000
     972.00      27.000       0.000       0.000       0.000      24.648      15.868       0.000      15.868       0.000
     972.50     120.000       0.000       0.000       0.000      31.600      19.592       0.000      19.592       0.000
     972.54     117.441       0.000       0.000       0.000      32.719      20.116       0.000      20.116       0.000
     972.90      94.398       0.000       0.000       0.000      42.800      24.310       0.000      24.310       0.000
     973.00      88.000       0.000       0.000       0.000      40.476      22.464       0.000      22.464       0.000
     973.50      31.000       0.000       0.000       0.000      28.850      14.137       0.000      14.137       0.000
     974.00      20.000       0.000       0.000       0.000      17.225       7.321       0.000       7.321       0.000
